"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","214","Then Veo un mensaje de confirmación de compra","","Mon Jun 23 15:18:38 GMT-05:00 2025","passed","Mon Jun 23 15:18:39 GMT-05:00 2025","","Comprar un libro: Comprar un libro exitosamente","",""
"","1162","Given Estoy en la página de registro","","Mon Jun 23 15:18:33 GMT-05:00 2025","passed","Mon Jun 23 15:18:34 GMT-05:00 2025","","Registrar usuario: Registrar un usuario exitosamente","",""
"","803","When Lleno el formulario de registro con los siguientes datos","","Mon Jun 23 15:18:38 GMT-05:00 2025","passed","Mon Jun 23 15:18:39 GMT-05:00 2025","","Registrar usuario: Registrar un usuario con contraseña no válida","",""
"","260","Then Se muestra un mensaje de error indicando que las contraseñas no coinciden","","Mon Jun 23 15:18:36 GMT-05:00 2025","passed","Mon Jun 23 15:18:36 GMT-05:00 2025","","Registrar usuario: Registrar un usuario con contraseña no coincidente","",""
"","2013","And Lleno el formulario de pago con los siguientes datos","","Mon Jun 23 15:18:36 GMT-05:00 2025","passed","Mon Jun 23 15:18:38 GMT-05:00 2025","","Comprar un libro: Comprar un libro exitosamente","",""
"","1345","When Lleno el formulario de registro con los siguientes datos","","Mon Jun 23 15:18:34 GMT-05:00 2025","passed","Mon Jun 23 15:18:36 GMT-05:00 2025","","Registrar usuario: Registrar un usuario exitosamente","",""
"","1801","And Lleno el formulario de pago con los siguientes datos","","Mon Jun 23 15:18:35 GMT-05:00 2025","passed","Mon Jun 23 15:18:37 GMT-05:00 2025","","Comprar un libro: Comprar un libro exitosamente","",""
"","1504","When Lleno el formulario de registro con los siguientes datos","","Mon Jun 23 15:18:34 GMT-05:00 2025","passed","Mon Jun 23 15:18:36 GMT-05:00 2025","","Registrar usuario: Registrar un usuario con contraseña no coincidente","",""
"","337","And Confirmo el pago","","Mon Jun 23 15:18:37 GMT-05:00 2025","passed","Mon Jun 23 15:18:38 GMT-05:00 2025","","Comprar un libro: Comprar un libro exitosamente","",""
"","1248","Given Estoy en la pagina de catalogo","","Mon Jun 23 15:18:30 GMT-05:00 2025","passed","Mon Jun 23 15:18:32 GMT-05:00 2025","","Comprar un libro: Comprar un libro exitosamente","",""
"","1441","Given Estoy en la pagina de catalogo","","Mon Jun 23 15:18:31 GMT-05:00 2025","passed","Mon Jun 23 15:18:32 GMT-05:00 2025","","Comprar un libro: Comprar un libro exitosamente","",""
"","577","Given Estoy en la página de registro","","Mon Jun 23 15:18:36 GMT-05:00 2025","passed","Mon Jun 23 15:18:36 GMT-05:00 2025","","Registrar usuario: Registrar un usuario con contraseña no coincidente","",""
"","774","When Busco el libro Harry","","Mon Jun 23 15:18:32 GMT-05:00 2025","passed","Mon Jun 23 15:18:33 GMT-05:00 2025","","Comprar un libro: Comprar un libro exitosamente","",""
"","221","Then El usuario es registrado correctamente","","Mon Jun 23 15:18:36 GMT-05:00 2025","passed","Mon Jun 23 15:18:36 GMT-05:00 2025","","Registrar usuario: Registrar un usuario exitosamente","",""
"","116","Then Se muestra un mensaje de error indicando que la contraseña no es válida","","Mon Jun 23 15:18:39 GMT-05:00 2025","passed","Mon Jun 23 15:18:39 GMT-05:00 2025","","Registrar usuario: Registrar un usuario con contraseña no válida","",""
